age,income,employment_length,loan_amount,loan_term,credit_score,existing_loans,debt_to_income,marital_status,education,property_area,default
59,77761,18,38209,60,791,2,0.17,Married,Postgraduate,Urban,0
49,141178,19,27424,12,436,1,0.47,Single,Postgraduate,Urban,0
35,56368,5,42396,12,666,2,0.42,Married,Postgraduate,Semiurban,0
28,26783,9,11370,60,483,1,0.79,Married,Postgraduate,Urban,1
41,131530,3,14528,12,887,2,0.3,Single,Postgraduate,Rural,0
59,61914,10,33276,48,586,3,0.87,Married,Graduate,Rural,0
39,90507,19,49333,60,771,4,0.87,Married,Undergraduate,Rural,1
43,147738,3,13179,12,674,2,0.3,Single,Graduate,Semiurban,0
31,99026,15,21843,24,836,2,0.38,Single,Undergraduate,Urban,0
31,135893,1,28952,60,810,3,0.82,Married,Undergraduate,Semiurban,0
44,131255,7,38160,60,878,2,0.87,Single,Undergraduate,Urban,0
56,130616,12,49898,48,549,0,0.45,Married,Undergraduate,Semiurban,0
44,87526,17,34516,36,809,3,0.36,Single,Undergraduate,Semiurban,0
23,90835,5,15449,36,372,0,0.52,Married,Postgraduate,Urban,0
42,65765,4,26125,48,581,3,0.65,Married,Graduate,Semiurban,0
22,39956,12,12418,48,659,2,0.32,Married,Graduate,Urban,0
44,107895,18,27746,48,309,0,0.69,Single,Postgraduate,Rural,1
50,66240,17,7454,36,510,2,0.14,Married,Undergraduate,Rural,0
58,141008,19,22761,48,451,3,0.14,Single,Graduate,Rural,0
22,57148,9,20223,12,304,2,0.41,Married,Postgraduate,Semiurban,0
41,114270,4,11701,60,494,0,0.38,Married,Postgraduate,Rural,0
53,147978,2,7597,60,582,0,0.35,Married,Graduate,Urban,0
32,24757,4,5141,24,763,2,0.49,Married,Graduate,Rural,0
42,39097,2,7659,24,412,1,0.36,Married,Undergraduate,Rural,1
45,30395,15,25980,60,570,3,0.25,Single,Undergraduate,Semiurban,0
47,36241,2,14031,12,462,3,0.35,Single,Graduate,Urban,1
48,123892,4,20037,36,759,2,0.88,Single,Undergraduate,Semiurban,0
36,47696,6,43429,36,404,1,0.43,Married,Postgraduate,Semiurban,1
35,135654,7,11142,12,855,0,0.46,Married,Undergraduate,Urban,0
23,90480,10,17109,36,581,4,0.56,Single,Undergraduate,Semiurban,0
57,66163,19,27010,48,461,4,0.89,Married,Postgraduate,Urban,1
27,39816,19,13787,60,650,2,0.29,Married,Undergraduate,Rural,0
41,69840,12,47864,60,733,1,0.65,Married,Postgraduate,Urban,1
29,122547,3,13472,12,439,1,0.67,Single,Undergraduate,Urban,1
59,72853,13,28383,36,770,3,0.59,Single,Graduate,Urban,0
38,44917,18,9249,24,431,0,0.17,Single,Undergraduate,Semiurban,0
24,116731,8,39518,24,386,1,0.64,Single,Graduate,Urban,1
45,41566,15,23351,36,482,4,0.15,Single,Graduate,Urban,0
34,95452,1,9088,24,667,0,0.58,Married,Graduate,Urban,0
29,82823,3,20282,12,428,0,0.69,Married,Graduate,Rural,1
46,141392,8,24330,12,545,2,0.27,Married,Graduate,Urban,0
22,40806,4,47409,36,877,1,0.77,Married,Postgraduate,Semiurban,1
40,95520,16,26778,24,677,2,0.12,Single,Postgraduate,Urban,0
48,21759,10,29264,12,448,1,0.78,Single,Postgraduate,Urban,1
27,146092,12,10075,12,732,3,0.47,Married,Graduate,Rural,0
28,61949,14,15412,48,768,2,0.27,Single,Undergraduate,Urban,0
55,112374,14,33365,48,745,2,0.21,Married,Postgraduate,Semiurban,0
34,22482,2,12230,12,780,4,0.86,Married,Undergraduate,Urban,1
37,44442,5,16002,36,593,2,0.16,Married,Undergraduate,Semiurban,0
56,53719,5,18947,60,442,1,0.26,Married,Graduate,Rural,0
24,78066,6,18686,60,549,4,0.38,Single,Graduate,Urban,0
